Date_________JDUT     R.A._(J2000.0)_DEC.            delta      deldot
**********************************************************************
$$SOE
2456798.500000000     110.74642  21.72168 1.29991573952164  -0.3047426
2456799.500000000     111.77485  21.56828 1.29973799604104  -0.3107512
2456800.500000000     112.80112  21.40858 1.29955672087674  -0.3169848
2456801.500000000     113.82518  21.24262 1.29937176439234  -0.3235058
2456802.500000000     114.84697  21.07048 1.29918295035653  -0.3303445
2456803.500000000     115.86645  20.89222 1.29899009596783  -0.3374927
2456804.500000000     116.88355  20.70791 1.29879302986966  -0.3449209
2456805.500000000     117.89822  20.51764 1.29859160514464  -0.3525740
2456806.500000000     118.91041  20.32146 1.29838571229643  -0.3603817
2456807.500000000     119.92007  20.11947 1.29817528517900  -0.3682582
2456808.500000000     120.92715  19.91174 1.29796030899771  -0.3761192
2456809.500000000     121.93161  19.69834 1.29774081681841  -0.3838822
2456810.500000000     122.93341  19.47935 1.29751654331055  -0.3914698
2456811.500000000     123.93250  19.25488 1.29728830027560  -0.3988085
2456812.500000000     124.92886  19.02499 1.29705590578174  -0.4058345
2456813.500000000     125.92245  18.78979 1.29681955892508  -0.4124835
2456814.500000000     126.91324  18.54934 1.29657949566316  -0.4186925
2456815.500000000     127.90123  18.30374 1.29633598931376  -0.4243941
2456816.500000000     128.88639  18.05307 1.29608935347393  -0.4295163
2456817.500000000     129.86870  17.79743 1.29583994507726  -0.4339811
2456818.500000000     130.84816  17.53691 1.29558816673473  -0.4377099
2456819.500000000     131.82477  17.27159 1.29533446563163  -0.4406274
2456820.500000000     132.79853  17.00157 1.29507932330846  -0.4426966
2456821.500000000     133.76946  16.72692 1.29482323516258  -0.4439053
2456822.500000000     134.73757  16.44775 1.29456668770870  -0.4442998
2456823.500000000     135.70289  16.16415 1.29431012349719  -0.4439852
2456824.500000000     136.66544  15.87618 1.29405390989109  -0.4431146
2456825.500000000     137.62528  15.58396 1.29379831663651  -0.4418676
2456826.500000000     138.58243  15.28756 1.29354350871392  -0.4404243
2456827.500000000     139.53695  14.98707 1.29328955304240  -0.4389399
2456828.500000000     140.48887  14.68259 1.29303643581499  -0.4375381
2456829.500000000     141.43823  14.37420 1.29278408320053  -0.4363033
2456830.500000000     142.38509  14.06200 1.29253238291450  -0.4352849
2456831.500000000     143.32947  13.74608 1.29228120283593  -0.4345032
2456832.500000000     144.27143  13.42654 1.29203040620954  -0.4339551
2456833.500000000     145.21100  13.10347 1.29177986382520  -0.4336177
2456834.500000000     146.14823  12.77696 1.29152946418522  -0.4334534
2456835.500000000     147.08315  12.44712 1.29127912103409  -0.4334131
2456836.500000000     148.01582  12.11404 1.29102877905790  -0.4334393
2456837.500000000     148.94626  11.77781 1.29077841779973  -0.4334692
2456838.500000000     149.87453  11.43854 1.29052805364230  -0.4334385
2456839.500000000     150.80067  11.09632 1.29027774034777  -0.4332823
2456840.500000000     151.72474  10.75127 1.29002771535394  -0.4329368
2456841.500000000     152.64676  10.40345 1.28977781354623  -0.4323382
2456842.500000000     153.56679  10.05297 1.28952834605683  -0.4314216
2456843.500000000     154.48489   9.69994 1.28927951625269  -0.4301181
2456844.500000000     155.40111   9.34446 1.28903156918750  -0.4283518
2456845.500000000     156.31550   8.98661 1.28878479750474  -0.4260333
2456846.500000000     157.22813   8.62650 1.28853954443734  -0.4230769
2456847.500000000     158.13904   8.26422 1.28829620782731  -0.4193811
2456848.500000000     159.04831   7.89987 1.28805524196240  -0.4148539
2456849.500000000     159.95599   7.53354 1.28781714778436  -0.4094301
2456850.500000000     160.86217   7.16533 1.28758245105613  -0.4030918
2456851.500000000     161.76692   6.79534 1.28735166982685  -0.3958858
2456852.500000000     162.67033   6.42363 1.28712527462503  -0.3879292
2456853.500000000     163.57247   6.05032 1.28690365195992  -0.3793920
2456854.500000000     164.47345   5.67548 1.28668708068200  -0.3704707
2456855.500000000     165.37336   5.29921 1.28647572759609  -0.3613526
2456856.500000000     166.27228   4.92160 1.28626965885025  -0.3521958
2456857.500000000     167.17031   4.54272 1.28606886146461  -0.3431159
2456858.500000000     168.06753   4.16268 1.28587326633752  -0.3341920
2456859.500000000     168.96404   3.78156 1.28568276920277  -0.3254682
2456860.500000000     169.85991   3.39946 1.28549724799972  -0.3169639
2456861.500000000     170.75524   3.01648 1.28531657436721  -0.3086819
2456862.500000000     171.65009   2.63269 1.28514062182788  -0.3006133
2456863.500000000     172.54455   2.24821 1.28496927433346  -0.2927328
2456864.500000000     173.43869   1.86311 1.28480242993542  -0.2850154
2456865.500000000     174.33259   1.47751 1.28464000466700  -0.2774243
2456866.500000000     175.22634   1.09149 1.28448193750775  -0.2699171
2456867.500000000     176.11999   0.70515 1.28432819413244  -0.2624439
2456868.500000000     177.01363   0.31859 1.28417877043517  -0.2549510
2456869.500000000     177.90733  -0.06810 1.28403369233960  -0.2473855
2456870.500000000     178.80115  -0.45482 1.28389302129388  -0.2396809
2456871.500000000     179.69517  -0.84149 1.28375594292286  -0.2317782
2456872.500000000     180.58947  -1.22797 1.28362441675349  -0.2235984
2456873.500000000     181.48411  -1.61420 1.28349771417979  -0.2150611
2456874.500000000     182.37916  -2.00006 1.28337607010535  -0.2060651
2456875.500000000     183.27470  -2.38547 1.28325977934455  -0.1965059
2456876.500000000     184.17080  -2.77032 1.28314919914432  -0.1862714
2456877.500000000     185.06752  -3.15453 1.28304475220932  -0.1752541
2456878.500000000     185.96495  -3.53798 1.28294691476016  -0.1633766
2456879.500000000     186.86317  -3.92060 1.28285619170368  -0.1506206
2456880.500000000     187.76226  -4.30228 1.28277308113592  -0.1370314
2456881.500000000     188.66230  -4.68294 1.28269803195569  -0.1227314
2456882.500000000     189.56340  -5.06248 1.28263140717405  -0.1078940
2456883.500000000     190.46565  -5.44081 1.28257345944724  -0.0927189
2456884.500000000     191.36913  -5.81785 1.28252432891672  -0.0773919
2456885.500000000     192.27394  -6.19350 1.28248405698616  -0.0620667
2456886.500000000     193.18018  -6.56767 1.28245260818501  -0.0468558
2456887.500000000     194.08792  -6.94026 1.28242989338635  -0.0318337
2456888.500000000     194.99725  -7.31118 1.28241578918273  -0.0170460
2456889.500000000     195.90824  -7.68034 1.28241015179223  -0.0025191
2456890.500000000     196.82098  -8.04764 1.28241282659166   0.0117350
2456891.500000000     197.73553  -8.41298 1.28242365452373   0.0257125
2456892.500000000     198.65197  -8.77627 1.28244247624945   0.0394148
2456893.500000000     199.57037  -9.13740 1.28246913631942   0.0528572
2456894.500000000     200.49077  -9.49628 1.28250348863867   0.0660537
2456895.500000000     201.41326  -9.85281 1.28254539795097   0.0790294
2456896.500000000     202.33788 -10.20688 1.28259474600115   0.0918177
2456897.500000000     203.26470 -10.55840 1.28265143622123   0.1044607
2456898.500000000     204.19375 -10.90727 1.28271539862903   0.1170083
2456899.500000000     205.12510 -11.25337 1.28278659618263   0.1295242
2456900.500000000     206.05879 -11.59662 1.28286502985880   0.1420770
2456901.500000000     206.99486 -11.93690 1.28295074397708   0.1547485
2456902.500000000     207.93334 -12.27412 1.28304415265022   0.1676307
2456903.500000000     208.87429 -12.60817 1.28314476966451   0.1808338
2456904.500000000     209.81775 -12.93896 1.28325313272908   0.1944725
2456905.500000000     210.76375 -13.26637 1.28336952821772   0.2086672
2456906.500000000     211.71232 -13.59031 1.28349431008557   0.2235280
2456907.500000000     212.66350 -13.91068 1.28362788757309   0.2391323
2456908.500000000     213.61733 -14.22738 1.28377069990334   0.2555034
2456909.500000000     214.57385 -14.54030 1.28392317974773   0.2725936
2456910.500000000     215.53311 -14.84936 1.28408571192884   0.2902867
2456911.500000000     216.49516 -15.15445 1.28425859823677   0.3084164
2456912.500000000     217.46003 -15.45549 1.28444203778140   0.3267999
2456913.500000000     218.42778 -15.75237 1.28463612573378   0.3452595
2456914.500000000     219.39843 -16.04500 1.28484086267723   0.3636527
2456915.500000000     220.37203 -16.33328 1.28505617729410   0.3818710
2456916.500000000     221.34861 -16.61713 1.28528194498145   0.3998377
2456917.500000000     222.32818 -16.89644 1.28551800460644   0.4175014
2456918.500000000     223.31077 -17.17112 1.28576417042750   0.4348275
2456919.500000000     224.29639 -17.44107 1.28602023994846   0.4517908
2456920.500000000     225.28504 -17.70621 1.28628599805978   0.4683731
2456921.500000000     226.27674 -17.96643 1.28656122121441   0.4845621
2456922.500000000     227.27148 -18.22164 1.28684567788278   0.5003457
2456923.500000000     228.26924 -18.47175 1.28713913372808   0.5157236
2456924.500000000     229.27002 -18.71666 1.28744135600698   0.5307030
2456925.500000000     230.27381 -18.95628 1.28775211944418   0.5453008
2456926.500000000     231.28056 -19.19052 1.28807121263282   0.5595552
